KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath,localpath,hue,saturation,brightness,cluster,title_c,author_c,year_c,specattr_c,sprocess_c,cluster_c
115,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,September,257a,Sarony,Albumen silver print,specimens_resized/115_S.JPG,specimens_resized_panel/115_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/115_S.JPG,37.0,0.15521146425909976,0.5700726203943115,0,5,5,7,7,0,7
116,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,November,321a,Harroun & Bierstadt,Collotype,specimens_resized/116_S.JPG,specimens_resized_panel/116_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/116_S.JPG,45.0,0.11654977206071244,0.5910981753812636,2,5,5,7,7,1,5
117,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1880,December,353a,W.J. Baker ,Collotype,specimens_resized/117_S.JPG,specimens_resized_panel/117_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/117_S.JPG,329.0,0.1040145848294462,0.5483189731898346,11,5,5,7,7,1,0
118,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,February,33a,Harroun & Bierstadt,Collotype,specimens_resized/118_S.JPG,specimens_resized_panel/118_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/118_S.JPG,37.0,0.15610622273702934,0.5446651011776661,2,5,5,7,7,1,5
119,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,March,65a,Harroun & Bierstadt,Collotype,specimens_resized/119_S.JPG,specimens_resized_panel/119_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/119_S.JPG,45.0,0.12415069255728454,0.5649592162133671,11,5,5,7,7,1,0
120,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,April,97a,Harroun & Bierstadt,Collotype,specimens_resized/120_S.JPG,specimens_resized_panel/120_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/120_S.JPG,55.0,0.09916968935917153,0.5849221622242647,11,5,5,7,7,1,0
121,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,July,193a,Harroun & Bierstadt,Collotype,specimens_resized/121_S.JPG,specimens_resized_panel/121_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/121_S.JPG,50.0,0.09122725685687492,0.5517421857392381,11,5,5,7,7,1,0
122,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,October,289a,E. Bierstadt,Collotype,specimens_resized/122_S.JPG,specimens_resized_panel/122_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/122_S.JPG,52.0,0.09058177249377357,0.5739066540077569,11,5,5,7,7,1,0
123,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,November,321a,None,Gelatin silver DOP,specimens_resized/123_S.JPG,specimens_resized_panel/123_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/123_S.JPG,264.0,0.1335407843628851,0.4984229186326937,7,5,5,7,0,3,1
124,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1881,December,353a,Harroun & Bierstadt,Collotype,specimens_resized/124_S.JPG,specimens_resized_panel/124_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/124_S.JPG,257.0,0.10382501974877356,0.5470568362480128,11,5,5,7,7,1,0
