KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath
667,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,May,130a,William H. Rhoads,Albumen silver print,specimens_resized/667_S.JPG,specimens_resized_panel/667_S.JPG
668,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,May,129b,William H. Rhoads,Albumen silver print,specimens_resized/668_S.JPG,specimens_resized_panel/668_S.JPG
669,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,June,161a,William F. Carnall,Albumen silver print,specimens_resized/669_S.JPG,specimens_resized_panel/669_S.JPG
670,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,July,193a,Gihon & Jones,Albumen silver print,specimens_resized/670_S.JPG,specimens_resized_panel/670_S.JPG
671,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,August,249a,Dinmore & Wilson,Albumen silver print,specimens_resized/671_S.JPG,specimens_resized_panel/671_S.JPG
672,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,August,248b,Dinmore & Wilson,Albumen silver print,specimens_resized/672_S.JPG,specimens_resized_panel/672_S.JPG
673,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,September,281a,William H. Rhoads,Albumen silver print,specimens_resized/673_S.JPG,specimens_resized_panel/673_S.JPG
674,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,November,345a,William H. Rhoads,Albumen silver print,specimens_resized/674_S.JPG,specimens_resized_panel/674_S.JPG
675,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1871,December,377a,American Photo-Relief Co.,Woodburytype,specimens_resized/675_S.JPG,specimens_resized_panel/675_S.JPG
676,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,February,33a,William H. Rhoads,Albumen silver print,specimens_resized/676_S.JPG,specimens_resized_panel/676_S.JPG
677,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,March,65a,Dinmore & Wilson,Albumen silver print,specimens_resized/677_S.JPG,specimens_resized_panel/677_S.JPG
678,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,May,129a,None,Albumen silver print,specimens_resized/678_S.JPG,specimens_resized_panel/678_S.JPG
679,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,June,161a,William H. Rhoads,Albumen silver print,specimens_resized/679_S.JPG,specimens_resized_panel/679_S.JPG
680,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,July,241a,J.B. Obernetter,Collotype,specimens_resized/680_S.JPG,specimens_resized_panel/680_S.JPG
681,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,August,273a,Dinmore & Wilson,Albumen silver print,specimens_resized/681_S.JPG,specimens_resized_panel/681_S.JPG
682,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,September,305a,None,Albumen silver print,specimens_resized/682_S.JPG,specimens_resized_panel/682_S.JPG
683,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,October,337a,Suddards & Fennemore,Albumen silver print,specimens_resized/683_S.JPG,specimens_resized_panel/683_S.JPG
684,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1872,December,401a,None,Albumen silver print,specimens_resized/684_S.JPG,specimens_resized_panel/684_S.JPG
685,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,March,65a,Warren & Heald,Albumen silver print,specimens_resized/685_S.JPG,specimens_resized_panel/685_S.JPG
686,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,April,97a,None,Albumen silver print,specimens_resized/686_S.JPG,specimens_resized_panel/686_S.JPG
687,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,May,129a,Frank Jewell,Albumen silver print,specimens_resized/687_S.JPG,specimens_resized_panel/687_S.JPG
688,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,June,161a,William H. Rhoads,Albumen silver print,specimens_resized/688_S.JPG,specimens_resized_panel/688_S.JPG
689,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,June,160b,William H. Rhoads,Albumen silver print,specimens_resized/689_S.JPG,specimens_resized_panel/689_S.JPG
690,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,July,193a,W. J. Baker,Albumen silver print,specimens_resized/690_S.JPG,specimens_resized_panel/690_S.JPG
691,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,July,192b,W. J. Baker,Albumen silver print,specimens_resized/691_S.JPG,specimens_resized_panel/691_S.JPG
692,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,August,225a,James R. Osgood & Co.,Collotype,specimens_resized/692_S.JPG,specimens_resized_panel/692_S.JPG
693,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,August,224b,James R. Osgood & Co.,Collotype,specimens_resized/693_S.JPG,specimens_resized_panel/693_S.JPG
694,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,September,257a,William H. Rhoads,Albumen silver print,specimens_resized/694_S.JPG,specimens_resized_panel/694_S.JPG
695,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,September,256b ,William H. Rhoads,Albumen silver print,specimens_resized/695_S.JPG,specimens_resized_panel/695_S.JPG
696,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,October,481a,Schreiber & Son,Albumen silver print,specimens_resized/696_S.JPG,specimens_resized_panel/696_S.JPG
697,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,November,517a,None,Albumen silver print,specimens_resized/697_S.JPG,specimens_resized_panel/697_S.JPG
698,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1873,December,549a,Trask & Bacon,Albumen silver print,specimens_resized/698_S.JPG,specimens_resized_panel/698_S.JPG
699,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,January,1a,William H. Rhoads,Albumen silver print,specimens_resized/699_S.JPG,specimens_resized_panel/699_S.JPG
700,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,February,33a,None,Albumen silver print,specimens_resized/700_S.JPG,specimens_resized_panel/700_S.JPG
701,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,April,97a,None,Albumen silver print,specimens_resized/701_S.JPG,specimens_resized_panel/701_S.JPG
702,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,May,129a,William H. Rhoads,Albumen silver print,specimens_resized/702_S.JPG,specimens_resized_panel/702_S.JPG
703,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,May,128b,William H. Rhoads,Albumen silver print,specimens_resized/703_S.JPG,specimens_resized_panel/703_S.JPG
704,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,June,162a,William H. Rhoads,Albumen silver print,specimens_resized/704_S.JPG,specimens_resized_panel/704_S.JPG
705,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,July,193a,William H. Rhoads,Albumen silver print,specimens_resized/705_S.JPG,specimens_resized_panel/705_S.JPG
706,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,July,192b,William H. Rhoads,Albumen silver print,specimens_resized/706_S.JPG,specimens_resized_panel/706_S.JPG
707,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,August,225a,J. Barhydt,Albumen silver print,specimens_resized/707_S.JPG,specimens_resized_panel/707_S.JPG
708,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,August,224b,J. Barhydt,Albumen silver print,specimens_resized/708_S.JPG,specimens_resized_panel/708_S.JPG
709,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,September,257a, G. Sommer,Albumen silver print,specimens_resized/709_S.JPG,specimens_resized_panel/709_S.JPG
710,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,September,256b , G. Sommer,Albumen silver print,specimens_resized/710_S.JPG,specimens_resized_panel/710_S.JPG
711,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,October,289a,William H. Rhoads,Albumen silver print,specimens_resized/711_S.JPG,specimens_resized_panel/711_S.JPG
712,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,October,288b,William H. Rhoads,Albumen silver print,specimens_resized/712_S.JPG,specimens_resized_panel/712_S.JPG
713,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,November,321a,G. M. Elton,Albumen silver print,specimens_resized/713_S.JPG,specimens_resized_panel/713_S.JPG
714,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,November,320b,G. M. Elton,Albumen silver print,specimens_resized/714_S.JPG,specimens_resized_panel/714_S.JPG
715,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,December,353a,W.A. Mansell & Co.,Albumen silver print,specimens_resized/715_S.JPG,specimens_resized_panel/715_S.JPG
716,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1874,December,352b,W.A. Mansell & Co.,Albumen silver print,specimens_resized/716_S.JPG,specimens_resized_panel/716_S.JPG
717,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,January,1a,None,Albumen silver print,specimens_resized/717_S.JPG,specimens_resized_panel/717_S.JPG
718,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,January,1b,None,Albumen silver print,specimens_resized/718_S.JPG,specimens_resized_panel/718_S.JPG
719,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,February,33a,William H. Rhoads,Albumen silver print,specimens_resized/719_S.JPG,specimens_resized_panel/719_S.JPG
720,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,February,32b,William H. Rhoads,Albumen silver print,specimens_resized/720_S.JPG,specimens_resized_panel/720_S.JPG
721,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,March,65a,Charles Hearn,Albumen silver print,specimens_resized/721_S.JPG,specimens_resized_panel/721_S.JPG
722,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,March,80b,Robinson Co. ,Sample for the Robinson Trimmer,specimens_resized/722_S.JPG,specimens_resized_panel/722_S.JPG
723,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,April,97b,Charles Hearn,Albumen silver print,specimens_resized/723_S.JPG,specimens_resized_panel/723_S.JPG
724,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,May,129a,W.A. Mansell & Co.,Albumen silver print,specimens_resized/724_S.JPG,specimens_resized_panel/724_S.JPG
725,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,June,161a,Charles Hearn,Albumen silver print,specimens_resized/725_S.JPG,specimens_resized_panel/725_S.JPG
726,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,June,160b,Charles Hearn,Albumen silver print,specimens_resized/726_S.JPG,specimens_resized_panel/726_S.JPG
727,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,July,193a,Charles Hearn,Albumen silver print,specimens_resized/727_S.JPG,specimens_resized_panel/727_S.JPG
728,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,July,192b,Charles Hearn,Albumen silver print,specimens_resized/728_S.JPG,specimens_resized_panel/728_S.JPG
729,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,October,289a,Charles Hearn,Albumen silver print,specimens_resized/729_S.JPG,specimens_resized_panel/729_S.JPG
730,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,October,288b,Charles Hearn,Albumen silver print,specimens_resized/730_S.JPG,specimens_resized_panel/730_S.JPG
731,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,November,321a,Charles Hearn,Albumen silver print,specimens_resized/731_S.JPG,specimens_resized_panel/731_S.JPG
732,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,November,320b,Charles Hearn,Albumen silver print,specimens_resized/732_S.JPG,specimens_resized_panel/732_S.JPG
733,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1875,December,353a,Charles Hearn,Albumen silver print,specimens_resized/733_S.JPG,specimens_resized_panel/733_S.JPG
734,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,January,1a ,Charles Hearn,Albumen silver print,specimens_resized/734_S.JPG,specimens_resized_panel/734_S.JPG
735,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,February,33a,Charles Hearn,Albumen silver print,specimens_resized/735_S.JPG,specimens_resized_panel/735_S.JPG
736,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,February,32b,Charles Hearn,Albumen silver print,specimens_resized/736_S.JPG,specimens_resized_panel/736_S.JPG
737,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,March,65a,None,Albumen silver print,specimens_resized/737_S.JPG,specimens_resized_panel/737_S.JPG
738,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,March,64b,None,Albumen silver print,specimens_resized/738_S.JPG,specimens_resized_panel/738_S.JPG
739,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,April,97a,Charles Hearn,Albumen silver print,specimens_resized/739_S.JPG,specimens_resized_panel/739_S.JPG
740,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,April,96b,Charles Hearn,Albumen silver print,specimens_resized/740_S.JPG,specimens_resized_panel/740_S.JPG
741,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,May,129a,Charles Hearn,Albumen silver print,specimens_resized/741_S.JPG,specimens_resized_panel/741_S.JPG
742,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,May,128b,Charles Hearn,Albumen silver print,specimens_resized/742_S.JPG,specimens_resized_panel/742_S.JPG
743,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,June,161a,Charles Hearn,Albumen silver print,specimens_resized/743_S.JPG,specimens_resized_panel/743_S.JPG
744,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,July,193a,Charles Hearn,Albumen silver print,specimens_resized/744_S.JPG,specimens_resized_panel/744_S.JPG
745,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,December,353a,Charles Hearn,Albumen silver print,specimens_resized/745_S.JPG,specimens_resized_panel/745_S.JPG
746,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,December,352b,Charles Hearn,Albumen silver print,specimens_resized/746_S.JPG,specimens_resized_panel/746_S.JPG
747,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,None,backmatter 1,"A.M. Collins, Son & Co.",Sample mount,specimens_resized/747_S.JPG,specimens_resized_panel/747_S.JPG
748,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,None,backmatter 2,"A.M. Collins, Son & Co.",Sample mount,specimens_resized/748_S.JPG,specimens_resized_panel/748_S.JPG
749,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1876,None,backmatter 3,Waymouth's Vignetting Papers,Sample vignetting paper,specimens_resized/749_S.JPG,specimens_resized_panel/749_S.JPG
750,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,January,1a,Philadelphia Photographer,Albumen silver print,specimens_resized/750_S.JPG,specimens_resized_panel/750_S.JPG
751,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,April,97a,Centennial Photographic Co.,Albumen silver print,specimens_resized/751_S.JPG,specimens_resized_panel/751_S.JPG
752,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,June,161a,None,Albumen silver print,specimens_resized/752_S.JPG,specimens_resized_panel/752_S.JPG
753,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,June,160b,None,Albumen silver print,specimens_resized/753_S.JPG,specimens_resized_panel/753_S.JPG
754,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,July,193a,Centennial Photographic Co.,Albumen silver print,specimens_resized/754_S.JPG,specimens_resized_panel/754_S.JPG
755,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,July,192b,Centennial Photographic Co.,Albumen silver print,specimens_resized/755_S.JPG,specimens_resized_panel/755_S.JPG
756,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,August,225a,Centennial Photographic Co.,Albumen silver print,specimens_resized/756_S.JPG,specimens_resized_panel/756_S.JPG
757,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,October,289a,Centennial Photographic Co.,Albumen silver print,specimens_resized/757_S.JPG,specimens_resized_panel/757_S.JPG
758,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1877,December,353a,None,Albumen silver print,specimens_resized/758_S.JPG,specimens_resized_panel/758_S.JPG
759,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,January,1a,Edward L. Wilson,Albumen silver print,specimens_resized/759_S.JPG,specimens_resized_panel/759_S.JPG
760,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,January,1b,Edward L. Wilson,Albumen silver print,specimens_resized/760_S.JPG,specimens_resized_panel/760_S.JPG
761,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,February,33a,None,Albumen silver print,specimens_resized/761_S.JPG,specimens_resized_panel/761_S.JPG
762,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,February,32b,None,Albumen silver print,specimens_resized/762_S.JPG,specimens_resized_panel/762_S.JPG
763,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,March,65a,Philadelphia Photographer,Albumen silver print,specimens_resized/763_S.JPG,specimens_resized_panel/763_S.JPG
764,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,April,97a,Philadelphia Photographer,Albumen silver print,specimens_resized/764_S.JPG,specimens_resized_panel/764_S.JPG
765,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,April,96b,Philadelphia Photographer,Albumen silver print,specimens_resized/765_S.JPG,specimens_resized_panel/765_S.JPG
766,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,May,129a,None,Albumen silver print,specimens_resized/766_S.JPG,specimens_resized_panel/766_S.JPG
767,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,June,161a,None,Albumen silver print,specimens_resized/767_S.JPG,specimens_resized_panel/767_S.JPG
768,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,July,193a,None,Albumen silver print,specimens_resized/768_S.JPG,specimens_resized_panel/768_S.JPG
769,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,August,225a,Philadelphia Photographer,Albumen silver print,specimens_resized/769_S.JPG,specimens_resized_panel/769_S.JPG
770,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,November,321a,Philadelphia Photographer,Albumen silver print,specimens_resized/770_S.JPG,specimens_resized_panel/770_S.JPG
771,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1878,December,353a,Philadelphia Photographer,Albumen silver print,specimens_resized/771_S.JPG,specimens_resized_panel/771_S.JPG
772,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1879,May,129a,Philadelphia Photographer,Albumen silver print,specimens_resized/772_S.JPG,specimens_resized_panel/772_S.JPG
773,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1879,August,225a,None,Albumen silver print,specimens_resized/773_S.JPG,specimens_resized_panel/773_S.JPG
774,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1879,November,321a,Philadelphia Photographer ,Albumen silver print,specimens_resized/774_S.JPG,specimens_resized_panel/774_S.JPG
776,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1880,March,13a,Philadelphia Photographer,Albumen silver print,specimens_resized/776_S.JPG,specimens_resized_panel/776_S.JPG
777,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1880,February,33a,Philadelphia Photographer,Albumen silver print,specimens_resized/777_S.JPG,specimens_resized_panel/777_S.JPG
778,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1880,April,101a,Philadelphia Photographer,Albumen silver print,specimens_resized/778_S.JPG,specimens_resized_panel/778_S.JPG
779,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1880,May,133a,Philadelphia Photographer,Albumen silver print,specimens_resized/779_S.JPG,specimens_resized_panel/779_S.JPG
780,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1880,July,197a,Philadelphia Photographer,Albumen silver print,specimens_resized/780_S.JPG,specimens_resized_panel/780_S.JPG
781,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1880,August,229a,Philadelphia Photographer,Albumen silver print,specimens_resized/781_S.JPG,specimens_resized_panel/781_S.JPG
782,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1881,January,1a,Philadelphia Photographer,Albumen silver print,specimens_resized/782_S.JPG,specimens_resized_panel/782_S.JPG
783,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1881,February,33a,Philadelphia Photographer,Albumen silver print,specimens_resized/783_S.JPG,specimens_resized_panel/783_S.JPG
784,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1881,March,65a,Philadelphia Photographer,Albumen silver print,specimens_resized/784_S.JPG,specimens_resized_panel/784_S.JPG
785,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1881,April,97a,Philadelphia Photographer,Albumen silver print,specimens_resized/785_S.JPG,specimens_resized_panel/785_S.JPG
786,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1881,May,129a,Philadelphia Photographer,Albumen silver print,specimens_resized/786_S.JPG,specimens_resized_panel/786_S.JPG
787,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1881,June,161a,Philadelphia Photographer,Albumen silver print,specimens_resized/787_S.JPG,specimens_resized_panel/787_S.JPG
788,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1881,August,225a,Philadelphia Photographer,Albumen silver print,specimens_resized/788_S.JPG,specimens_resized_panel/788_S.JPG
789,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1881,October,289a,Philadelphia Photographer,Albumen silver print,specimens_resized/789_S.JPG,specimens_resized_panel/789_S.JPG
790,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1882,March,65a,None,Albumen silver print,specimens_resized/790_S.JPG,specimens_resized_panel/790_S.JPG
791,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1882,July,193a,None,Albumen silver print,specimens_resized/791_S.JPG,specimens_resized_panel/791_S.JPG
792,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1882,November,322a ,None,Albumen silver print,specimens_resized/792_S.JPG,specimens_resized_panel/792_S.JPG
793,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1882,December,353a,None,Albumen silver print,specimens_resized/793_S.JPG,specimens_resized_panel/793_S.JPG
794,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1885,February,33a,None,Albumen silver print,specimens_resized/794_S.JPG,specimens_resized_panel/794_S.JPG
795,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1885,March,65a,None,Albumen silver print,specimens_resized/795_S.JPG,specimens_resized_panel/795_S.JPG
796,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1885,April,97a,None,Albumen silver print,specimens_resized/796_S.JPG,specimens_resized_panel/796_S.JPG
797,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1885,May,129a,None,Albumen silver print,specimens_resized/797_S.JPG,specimens_resized_panel/797_S.JPG
798,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1885,August,225a,None,Albumen silver print,specimens_resized/798_S.JPG,specimens_resized_panel/798_S.JPG
799,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1885,September,277a,None,Albumen silver print,specimens_resized/799_S.JPG,specimens_resized_panel/799_S.JPG
800,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1885,October,314a,None,Albumen silver print,specimens_resized/800_S.JPG,specimens_resized_panel/800_S.JPG
801,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1885,November,345a,None,Albumen silver print,specimens_resized/801_S.JPG,specimens_resized_panel/801_S.JPG
802,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,January,33a,Photogravure Co.,Photogravure,specimens_resized/802_S.JPG,specimens_resized_panel/802_S.JPG
803,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,February,97a,Photogravure Co.,Photogravure,specimens_resized/803_S.JPG,specimens_resized_panel/803_S.JPG
804,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,March,129a,Roberts & Fellows,Albumen silver print,specimens_resized/804_S.JPG,specimens_resized_panel/804_S.JPG
805,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,March,161a,Photogravure Co.,Collotype,specimens_resized/805_S.JPG,specimens_resized_panel/805_S.JPG
806,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,May,257a,None,Albumen silver print,specimens_resized/806_S.JPG,specimens_resized_panel/806_S.JPG
807,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,May,289a,Photogravure Co.,Collotype,specimens_resized/807_S.JPG,specimens_resized_panel/807_S.JPG
808,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,July,1a,None,Albumen silver print,specimens_resized/808_S.JPG,specimens_resized_panel/808_S.JPG
809,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,September,513a,Roberts & Fellows,Albumen silver print,specimens_resized/809_S.JPG,specimens_resized_panel/809_S.JPG
810,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,September,545a,Photogravure Co.,Photogravure,specimens_resized/810_S.JPG,specimens_resized_panel/810_S.JPG
811,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,October,578a,Roberts & Fellows,Albumen silver print,specimens_resized/811_S.JPG,specimens_resized_panel/811_S.JPG
812,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,November,641a,Roberts & Fellows,Albumen silver print,specimens_resized/812_S.JPG,specimens_resized_panel/812_S.JPG
813,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1886,December,737a,Photogravure Co.,Collotype,specimens_resized/813_S.JPG,specimens_resized_panel/813_S.JPG
814,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,January,1a,Roberts & Fellows,Albumen silver print,specimens_resized/814_S.JPG,specimens_resized_panel/814_S.JPG
815,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,January,33a,F. Gutekunst,Collotype,specimens_resized/815_S.JPG,specimens_resized_panel/815_S.JPG
816,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,February,65a,Roberts & Fellows,Albumen silver print,specimens_resized/816_S.JPG,specimens_resized_panel/816_S.JPG
817,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,February,97a,Photogravure Co.,Collotype,specimens_resized/817_S.JPG,specimens_resized_panel/817_S.JPG
818,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,March,129a,Roberts & Fellows,Albumen silver print,specimens_resized/818_S.JPG,specimens_resized_panel/818_S.JPG
819,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,March,161a,Photogravure Co.,Photogravure,specimens_resized/819_S.JPG,specimens_resized_panel/819_S.JPG
820,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,April,193a,Roberts & Fellows,Albumen silver print,specimens_resized/820_S.JPG,specimens_resized_panel/820_S.JPG
821,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,May,257a,Roberts & Fellows,Albumen silver print,specimens_resized/821_S.JPG,specimens_resized_panel/821_S.JPG
822,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,May,289a,Photogravure Co.,Photogravure,specimens_resized/822_S.JPG,specimens_resized_panel/822_S.JPG
823,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,June,321a,Roberts & Fellows,Albumen silver print,specimens_resized/823_S.JPG,specimens_resized_panel/823_S.JPG
824,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,June,353a,F. Gutekunst,Collotype,specimens_resized/824_S.JPG,specimens_resized_panel/824_S.JPG
825,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,July,385a,Roberts & Fellows,Albumen silver print,specimens_resized/825_S.JPG,specimens_resized_panel/825_S.JPG
